# deli	frac	dwell	dt	stdev
2.845896750487754248e-10	5.701668578194132309e-01	6.288954968836024818e+03	2.620293903764877100e-02	2.198100812503313295e-01
2.866498291957492013e-10	5.727513802691522882e-01	5.672395462083630264e+03	3.513765188987848925e-02	2.387933925690854109e-01
2.835350169800446780e-10	5.640098843983167853e-01	1.991998406401274835e+01	1.147410282071774368e-01	1.123345318111903968e+00
2.842856832009485151e-10	5.658519182390517877e-01	5.916475266819786157e+03	1.390050087959929515e-01	2.137723775688072647e-01
2.882820091720791858e-10	5.691500378812803795e-01	4.971356022915181711e+03	1.026207979033616768e-01	2.032353626331749041e-01
2.882271421835961111e-10	5.677804922286949774e-01	4.042796765762587256e+03	2.353546117163106133e-01	2.111841008103957917e-01
2.845826112895577814e-10	5.688737569302945163e-01	4.403036477570817624e+03	2.837469730024215833e-02	2.159308921465676046e-01
2.758188234514080050e-10	5.600511386745230524e-01	5.842795325763739129e+03	1.116315906947274450e-01	2.171467346206582272e-01
2.611598864146915987e-10	5.255776656040418437e-01	1.634398692481045998e+02	8.025305579755535879e-02	4.312159949736951714e-01
2.761712676594216917e-10	5.557591319843077082e-01	5.274955780035375938e+03	2.886285690971447382e-01	2.257897120319390105e-01
2.884432863001977365e-10	5.754157245014277500e-01	5.426875658499473502e+03	5.249563800348959475e-02	2.213588292205736219e-01
2.739997322681413595e-10	5.456684036493043566e-01	5.305435755651395084e+03	9.022000782399373919e-02	2.423362622319690241e-01
2.831012755854982667e-10	5.613175689892969666e-01	6.417594865924107580e+03	1.092983125613499439e-02	2.780528549447225939e-01
2.843184749841242185e-10	5.572594443311273960e-01	5.080075935939251394e+03	2.733631413094869678e-01	2.183815677052310111e-01
2.899442621433769481e-10	5.650144098451903574e-01	3.926156859074512795e+03	2.102854317716545962e-01	2.106500807452848789e-01
2.896372005258647524e-10	5.741835508166948099e-01	6.894714484228412402e+03	4.364862108110313388e-01	1.937900905035445931e-01
2.846896542719382584e-10	5.695401381159262977e-01	6.209755032195974309e+03	7.398474081220735368e-03	1.960496974182126817e-01
2.928993705127534704e-10	5.797643358271437064e-01	7.636793890564887988e+03	6.142147086282331164e-02	2.042781987448185343e-01
2.800252834053215623e-10	5.625032837430772314e-01	5.296315762947389885e+03	6.917838465729226893e-01	2.140709829357254623e-01
